type,commenter,comment,ipdatetime,source_index,date_time,ip
→,TZUYIC,除，這樣一來就看不到啦，所以還是需要大家多點閱！ :),05/09 19:55,5,05/09 19:55,
推,ROCAF,點完圖了,05/09 21:35,5,05/09 21:35,
推,tnf,!!!我會去點的,05/10 11:52,5,05/10 11:52,
推,Anadyomene,,05/10 15:24,5,05/10 15:24,
推,ivyL,心文推,05/11 22:23,5,05/11 22:23,
推,tnf,Z大~超感謝您如此的用心~代表大家跟你敬禮致謝(敬禮)TZ大萬歲,05/15 12:02,5,05/15 12:02,
推,Anadyomene,60推,05/17 22:29,5,05/17 22:29,
推,yinson,? 我竟然沒推過  推推  ^^b,05/24 16:14,5,05/24 16:14,
推,bigair888,找這篇發現竟然置底啦,05/24 19:56,5,05/24 19:56,
推,fr373969,ush,05/24 23:20,5,05/24 23:20,
推,tnf,有點圖了，說好每個月要點一次~可是~~點到後面我的kkman當了,05/27 11:45,5,05/27 11:45,
推,yinson,新電腦 ＊*＊ˋ( ￣▽￣)ˊ＊*＊,05/27 15:54,5,05/27 15:54,
推,johnjohncoin,銀CHF匯差擴大，煩請更正表格，thx,05/30 10:13,5,05/30 10:13,
→,TZUYIC,說臺灣銀行拉大澳幣的匯差，我先觀察兩天再看看……,06/08 09:47,5,06/08 09:47,
推,johnjohncoin,猜下個調高匯差的幣別就是NZD，調高不爽，但還是,06/08 18:38,5,06/08 18:38,
→,johnjohncoin,國最低的話，就只好加減用了,06/08 18:38,5,06/08 18:38,
推,stardick,!!!,07/07 00:19,5,07/07 00:19,
推,slalala,邦網銀 美金澳幣有讓0.03,07/09 16:15,5,07/09 16:15,
推,ting24,,07/18 21:47,5,07/18 21:47,
→,miniuser,枝的ZAR 只能ZAR轉成其他幣別 無逆向反應,08/13 20:33,5,08/13 20:33,
推,tnf,月一點，今日8/23每月一點完畢...,08/23 15:52,5,08/23 15:52,
推,tnf,Z大，每月一點改成每月三點，結果~還是又多了圖看不到失效了,09/09 17:11,5,09/09 17:11,
推,tnf,有很認真點說~~站內信給你...,09/09 17:11,5,09/09 17:11,
推,winny221,得不推!!曠世好文阿~~對剛要接觸外幣的人真的很有幫助~,09/20 15:17,5,09/20 15:17,
推,Iammashen,一下 大概了解了,09/29 16:45,5,09/29 16:45,
→,tnf,"末連假，提早來每月三點...^^""",10/06 16:37,5,10/06 16:37,
→,tnf,月一點，沒有新變化...,11/07 17:18,5,11/07 17:18,
→,TZUYIC,來想加入台新的優惠，不過看報紙寫台新近期的優惠方案只,11/21 14:53,5,11/21 14:53,
→,TZUYIC,今年底，所以暫時先不加入台新，等明年再觀察狀況而定。,11/21 14:54,5,11/21 14:54,
→,tnf,月一點~~沒有啥新變化~~有個小疑問...,11/22 15:14,5,11/22 15:14,
→,tnf,什麼有時候會多一兩個連結有時候又少一兩個連結...(納悶中),11/22 15:14,5,11/22 15:14,
推,fouraugust,"謝T大,不過華南的優惠好像看不到了",11/22 20:31,5,11/22 20:31,
→,fouraugust,外華南的CHF目前為0.26,11/22 20:31,5,11/22 20:31,
→,fouraugust,HF點差為0.26,11/22 20:32,5,11/22 20:32,
→,TZUYIC,解，先做紀錄，之後再一併修正，感恩您。,11/22 21:15,5,11/22 21:15,
→,TZUYIC,S.其實圖片顯示的優惠我都放進表格中了，給圖只是作為參考,11/22 21:20,5,11/22 21:20,
→,TZUYIC,   文獻之用，如果圖片連結失效，可以直接看表格，我再找,11/22 21:23,5,11/22 21:23,
→,TZUYIC,  時間將所有的圖片連結更新為新的圖片空間（工程浩大）。,11/22 21:26,5,11/22 21:26,
推,tnf,工程真的很浩大...TZ大加油~銀行版的大家需要你呀!!!(握拳),12/02 16:26,5,12/02 16:26,
→,tnf,9個連結失效...orz,12/07 14:47,5,12/07 14:47,
→,tnf,上次的一樣~就不另轉寄連結了...以上報告...,12/07 14:51,5,12/07 14:51,
推,fouraugust,"謝T大,我也把全部連結點了一遍XD",12/08 20:57,5,12/08 20:57,
→,tnf,上好棒!!!!越多人幫點，我每月就可以少點一點了..,12/13 20:55,5,12/13 20:55,
→,tnf,然銀行版的大家就會少一篇置底精華文可以瀏覽了...,12/13 21:02,5,12/13 21:02,
→,TZUYIC,新銀行今年不提供網銀外幣交易優惠給一般客戶了，剛才試,01/05 10:24,5,01/05 10:24,
→,TZUYIC,一下發現以原價牌告匯率交易，這樣我就不用加入台新囉～,01/05 10:25,5,01/05 10:25,
→,TZUYIC,消息：即日起至101年2月底，於星展網銀線上換外匯，享有,01/05 10:41,5,01/05 10:41,
→,TZUYIC,金減3分、歐元減8分、澳幣減8分之優惠；登入網銀即可看見,01/05 10:42,5,01/05 10:42,
→,TZUYIC,惠訊息。,01/05 10:42,5,01/05 10:42,
→,TZUYIC,消息：渣打銀行網路銀行外匯交易優惠今年前半年持續，即,01/05 10:45,5,01/05 10:45,
→,TZUYIC,起至101年6月29日，享9種外幣線上換匯優惠，詳情見：,01/05 10:46,5,01/05 10:46,
→,TZUYIC,ttp://tinyurl.com/7wrnvwx 活動網頁。,01/05 10:46,5,01/05 10:46,
→,TZUYIC,（101）年，臺灣銀行及玉山銀行網銀外匯交易優惠皆持續～,01/05 11:06,5,01/05 11:06,
→,TZUYIC,邦銀行網路銀行最新外幣交易優惠（登入網銀可看到）：,01/05 22:34,5,01/05 22:34,
→,TZUYIC,購美金、澳幣、紐幣牌告匯率減3分，結購歐元牌告減1角；,01/05 22:35,5,01/05 22:35,
→,TZUYIC,售美金、澳幣、紐幣牌告匯率加3分，結購歐元牌告加1角。,01/05 22:36,5,01/05 22:36,
→,TZUYIC,邦活動：http://www.ubot.com.tw/UB/2009_123/index.html,01/06 12:03,5,01/06 12:03,
推,tnf,Z大~~p24合作金庫匯率加減碼優惠好像改了~~link壞了...XDDD,01/06 14:04,5,01/06 14:04,
推,tnf,他的部分就還是一樣，截圖的部分有些連結失效，以上報告,01/06 14:05,5,01/06 14:05,
→,tnf,月一點，完畢!!!,01/06 14:06,5,01/06 14:06,
→,TZUYIC,的，先做筆記ing～感謝^^,01/07 00:06,5,01/07 00:06,
推,liuring,"像有錯唷...如果以澳幣兌台幣31,台銀0.2%是賣30.938(網)",02/10 08:54,5,02/10 08:54,
→,liuring,"惠6.2分....勝過玉山優惠5分...而且值愈大優惠愈多,應該",02/10 08:55,5,02/10 08:55,
→,liuring,台銀大勝玉山吧,02/10 08:56,5,02/10 08:56,
→,liuring,否要修改一下台銀玉山的優勝比較呢,02/10 08:57,5,02/10 08:57,
→,TZUYIC,是比實際交易匯差（一來一往），不是指光比賣出或買入之,02/10 09:17,5,02/10 09:17,
→,TZUYIC,中單項，再加上玉山澳幣原始匯差本身就比較小，所以一般,02/10 09:18,5,02/10 09:18,
→,TZUYIC,戶玉山贏是沒有問題。,02/10 09:18,5,02/10 09:18,
→,TZUYIC,的計算方式在文章裡都解釋過了，可以再看一下。:),02/10 09:19,5,02/10 09:19,
→,tnf,潰了~~這次多達36個圖連結失效~~orz...,03/06 22:16,5,03/06 22:16,
推,maymaynow,！,03/09 00:04,5,03/09 00:04,
推,gsuper,大已經 dominating 了,04/01 21:31,5,04/01 21:31,
推,tnf,"月一點完畢~~總共35個連結失效~~>""<",04/02 22:18,5,04/02 22:18,
→,tnf,update失效的網址給妳嗎??,04/02 22:18,5,04/02 22:18,
→,tnf,天都不敢上線不敢點~我怕被愚人節了...XDDD,04/02 22:20,5,04/02 22:20,
推,volia,"略先看過~給讚!再來慢慢研究,感謝T大的辛勞。",04/14 00:51,5,04/14 00:51,
→,tnf,"月一點完畢~總共有36個連結失效~^^""",05/01 22:15,5,05/01 22:15,
→,tnf,次每月一點有像在玩樂透的感覺~點到沒失效的~在電腦前面喊,05/01 22:16,5,05/01 22:16,
→,tnf,效有效有效耶~~(像是中樂透的感覺)，這是每月一點的新樂趣XD,05/01 22:16,5,05/01 22:16,
推,tnf,上報告完畢...,05/01 22:17,5,05/01 22:17,
推,smartboy,銀年初開始有新優惠 http://tinyurl.com/7kcwpjj,05/12 16:47,5,05/12 16:47,
推,molalisa,看有推一下,06/10 00:13,5,06/10 00:13,
→,TZUYIC,泰世華銀行網路銀行牌告匯率加減碼優惠：,06/11 14:21,5,06/11 14:21,
→,TZUYIC,ttp://tinyurl.com/2zqegj,06/11 14:22,5,06/11 14:22,
推,b19880604,啦,07/16 02:30,5,07/16 02:30,
推,darwin0711,"恩 ,工程真的浩大啊...",09/19 17:40,5,09/19 17:40,
→,TZUYIC,人民幣匯率出來再更新文章好了（一天拖過一天，快逃呀）,02/05 20:07,5,02/05 20:07,
推,littlegreen,求人民幣整理版,02/08 02:30,5,02/08 02:30,
→,westfour,中有excel表格懶得放  總之一般客戶開玉山就對了,12/29 12:17,5,12/29 12:17,
→,westfour,浪費時間比了,12/29 12:17,5,12/29 12:17,
推,mauricew,大可以加上人民幣嗎?,01/13 10:29,5,01/13 10:29,
推,hot4321,推,03/03 15:34,5,03/03 15:34,
推,lukeduke,謝! 這篇非常實用啊!,03/25 10:56,5,03/25 10:56,
推,smashin,超詳細!大感謝!!!,09/02 13:29,5,09/02 13:29,
推,jefflin555,這篇怎麼還沒爆?,09/07 16:51,5,09/07 16:51,
推,jefflin555,我推,09/08 08:14,5,09/08 08:14,
推,jefflin555,再推,10/12 13:32,5,10/12 13:32,
→,jefflin555,補推,10/13 16:10,5,10/13 16:10,
推,jefflin555,沒推到，XD,10/13 16:30,5,10/13 16:30,
推,jefflin555,,10/14 08:48,5,10/14 08:48,
推,jefflin555,爆!!!,10/14 09:15,5,10/14 09:15,
推,BearFather,這篇常參考 持續大推,12/14 01:29,5,12/14 01:29,
推,hiyida,這篇猛,01/26 11:23,5,01/26 11:23,
推,seigaku00765,這篇太猛,03/01 21:47,5,03/01 21:47,
推,lily268268,good,03/05 17:38,5,03/05 17:38,
推,bms,推,08/17 16:38,5,08/17 16:38,
→,TZUYIC,玉山網路銀行／行動銀行匯率優惠現在放在這裡喔：,08/22 10:16,5,08/22 10:16,
→,TZUYIC,http://tinyurl.com/pj28f9j,08/22 10:16,5,08/22 10:16,
推,jammy50605,推,10/18 22:25,5,10/18 22:25,
推,perrylieu,"華南澳幣匯差是0.232,請修正一下",01/07 09:38,5,01/07 09:38,
推,pinkygill,推,03/10 17:07,5,03/10 17:07,
推,sisters,推,03/18 22:39,5,03/18 22:39,
推,johnlin35,太用心了~感謝分享 :),03/20 21:45,5,03/20 21:45,
推,perrylieu,錯誤百出，也不會修正,04/06 11:00,5,04/06 11:00,
→,perrylieu,我指的是匯差和網銀優惠,04/06 11:01,5,04/06 11:01,
推,jefflin555,樓上那麼會，就請你出來發一篇 100% 正確的,05/06 00:22,5,05/06 00:22,
推,justin0405,推！整理,08/28 09:10,5,08/28 09:10,
推,peal,那買入跟賣出的 匯兌損失 有比較到嗎?匯兌損失比較重要吧,11/17 19:40,5,11/17 19:40,
推,Hunting,peal.  t大那麼辛苦寫這一大篇不就都是在分析匯兌損失嗎,02/02 15:46,5,02/02 15:46,
→,Hunting, = =,02/02 15:46,5,02/02 15:46,
→,Hunting,匯兌損失=匯差呀,02/02 15:46,5,02/02 15:46,
推,Juan17,推 這篇真是外匯入門寶典呀 感恩T大!!,05/16 23:19,5,05/16 23:19,
推,tnf,把全部的連結都點一遍，但連結大部分都失效了~~~(掩面哭泣貌),06/19 22:38,5,06/19 22:38,
→,prussian,開外幣戶頭兩年以來，永豐美元即期匯率匯差永遠超過0.1,07/31 21:32,5,07/31 21:32,
→,prussian,大部份在 0.105~0.125 之間飄，早就比大多數銀行都爛了,07/31 21:32,5,07/31 21:32,
→,prussian,網銀還完全沒有優惠，反倒電話有，真不曉得活在哪個年代,07/31 21:33,5,07/31 21:33,
噓,fisher790722,第一部分聯邦銀行的數據有錯。歐元匯率差是0.36，,08/29 00:47,5,08/29 00:47,
→,fisher790722,澳幣是0.2,08/29 00:47,5,08/29 00:47,
推,jefflin555,那麼會,09/11 04:13,5,09/11 04:13,
推,IWD,很用心很棒的文章！非常感謝T大,05/19 08:36,5,05/19 08:36,
→,lico000,新臺幣活期存款專案_公告 PDF檔,08/09 04:13,5,08/09 04:13,
推,CCAP,整存,10/22 21:11,5,10/22 21:11,
→,sh0428,所以55樓555 支持3？33。,09/18 20:25,5,09/18 20:25,
推,popolili,謝謝,01/29 20:11,5,01/29 20:11,
推,HCN,浩大工程！感謝先~~~~,02/20 16:03,5,02/20 16:03,
推,Kevinren,感謝T大整理分享,10/09 21:58,5,10/09 21:58,
→,aiyowaya,花旗的消費者 看看這個 再想想自己要不要支持這可能買主,11/21 22:44,5,11/21 22:44,
→,SkyPtt,玉山日圓優惠0.0017了,03/29 09:59,5,03/29 09:59,
→,SkyPtt,永豐是推匯優利定存取代匯率折讓，實際要算一下，但不致,03/29 10:01,5,03/29 10:01,
→,SkyPtt,於太差,03/29 10:01,5,03/29 10:01,
→,greencue,感謝大大整理,04/25 15:03,5,04/25 15:03,
噓,m180,算這麼累不嫌累嗎,05/16 10:53,5,05/16 10:53,
推,wisteriachi,感謝整理,07/01 00:01,5,07/01 00:01,
推,chencu,推，很用心,07/12 08:42,5,07/12 08:42,
→,YesNoter,感謝,10/14 18:32,5,10/14 18:32,
推,jc0953489312,推,10/20 09:05,5,10/20 09:05,
推,gn6824,感謝,06/19 12:50,5,06/19 12:50,
噓,pinrain, 7,10/06 11:10,5,10/06 11:10,
推,tonton0131,推！感謝,12/19 21:07,5,12/19 21:07,
推,feisky,感恩推,01/17 20:17,5,01/17 20:17,
→,crazyghost,2021.09.29 ritalin0328,09/29 23:29,7,09/29 23:29,
→,crazyghost,2021.11.16 ssaymssik 累犯 水桶2個月,11/17 23:22,7,11/17 23:22,
噓,top911,真混Y～,12/13 03:30,7,12/13 03:30,
→,crazyghost,2022.01.16 CPBL,01/16 09:45,7,01/16 09:45,
→,crazyghost,2022.06.24 love1987611,06/24 00:56,7,06/24 00:56,
→,jasome,2022.07.01 asv1764,07/01 09:13,7,07/01 09:13,
→,jasome,2022.07.25 ninjaxin,07/27 01:44,7,07/27 01:44,
→,jasome,2022.07.25 doraqqqq,07/27 01:45,7,07/27 01:45,
→,jasome,2022.07.27 suspect1,07/27 22:54,7,07/27 22:54,
→,jasome,2022.07.31 charles0939,07/31 01:06,7,07/31 01:06,
→,jasome,2022.08.21 TOP99 板規10,08/21 08:46,7,08/21 08:46,
→,jasome,2022.08.31 k9120303,08/31 22:40,7,08/31 22:40,
→,jasome,2022.09.25 a6000200,09/25 10:55,7,09/25 10:55,
→,jasome,2022.09.28 jefflin555,09/28 14:23,7,09/28 14:23,
→,jasome,2022.10.08 m180,10/08 08:22,7,10/08 08:22,
→,jasome,2022.10.08 a09728347966,10/09 00:20,7,10/09 00:20,
→,jasome,2022.10.12 ctr29,10/12 00:42,7,10/12 00:42,
→,jasome,2022.10.17 banana321,10/17 08:10,7,10/17 08:10,
→,jasome,2022.10.20 dilbertludan,10/20 19:13,7,10/20 19:13,
→,jasome,2022.10.24 NTUSTEE118,10/24 03:48,7,10/24 03:48,
→,jasome,2022.10.31 uctheshaved,10/31 12:44,7,10/31 12:44,
→,jasome,2022.11.01 jack4215,11/01 00:10,7,11/01 00:10,
→,jasome,2022.11.30 a316xxx,12/02 16:03,7,12/02 16:03,
→,jasome,2022.12.01 Takadanobaba,12/02 16:03,7,12/02 16:03,
